user,date,additional_income
lydia,01/01/2025,3111
lydia,01/02/2025,6619
lydia,01/03/2025,1805
lydia,01/04/2025,0
lydia,01/05/2025,4733
jenny,01/01/2025,0
jenny,01/02/2025,5382
jenny,01/03/2025,6454
jenny,01/04/2025,0
jenny,01/05/2025,1272
mark,01/01/2025,2568
mark,01/02/2025,1008
mark,01/03/2025,4307
mark,01/04/2025,0
mark,01/05/2025,0
linda,01/01/2025,3899
linda,01/02/2025,2608
linda,01/03/2025,5793
linda,01/04/2025,0
linda,01/05/2025,0
amed,01/01/2025,0
amed,01/02/2025,0
amed,01/03/2025,0
amed,01/04/2025,0
amed,01/05/2025,0
hassan,01/01/2025,3061
hassan,01/02/2025,6642
hassan,01/03/2025,3103
hassan,01/04/2025,6311
hassan,01/05/2025,2122
Valerie,01/01/2025,2566
Valerie,01/02/2025,6720
Valerie,01/03/2025,0
Valerie,01/04/2025,7510
Valerie,01/05/2025,0
nelsen,01/01/2025,5819
nelsen,01/02/2025,0
nelsen,01/03/2025,3608
nelsen,01/04/2025,0
nelsen,01/05/2025,3305
kelvin,01/01/2025,0
kelvin,01/02/2025,4270
kelvin,01/03/2025,2718
kelvin,01/04/2025,7195
kelvin,01/05/2025,0
sushi,01/01/2025,1650
sushi,01/02/2025,0
sushi,01/03/2025,0
sushi,01/04/2025,4319
sushi,01/05/2025,0
marco,01/01/2025,2195
marco,01/02/2025,0
marco,01/03/2025,0
marco,01/04/2025,1824
marco,01/05/2025,0
lily,01/01/2025,0
lily,01/02/2025,5151
lily,01/03/2025,0
lily,01/04/2025,1837
lily,01/05/2025,0
peter,01/01/2025,0
peter,01/02/2025,0
peter,01/03/2025,7925
peter,01/04/2025,6810
peter,01/05/2025,0
shan,01/01/2025,2503
shan,01/02/2025,0
shan,01/03/2025,0
shan,01/04/2025,0
shan,01/05/2025,0
cheng jen,01/01/2025,1075
cheng jen,01/02/2025,6306
cheng jen,01/03/2025,6326
cheng jen,01/04/2025,0
cheng jen,01/05/2025,0
yasmine,01/01/2025,1013
yasmine,01/02/2025,3491
yasmine,01/03/2025,4620
yasmine,01/04/2025,6839
yasmine,01/05/2025,0
joshua,01/01/2025,1447
joshua,01/02/2025,0
joshua,01/03/2025,1739
joshua,01/04/2025,0
joshua,01/05/2025,4765
olivia,01/01/2025,1752
olivia,01/02/2025,4340
olivia,01/03/2025,1456
olivia,01/04/2025,0
olivia,01/05/2025,0
crystal,01/01/2025,2499
crystal,01/02/2025,5752
crystal,01/03/2025,5756
crystal,01/04/2025,3973
crystal,01/05/2025,1592
peng,01/01/2025,0
peng,01/02/2025,0
peng,01/03/2025,0
peng,01/04/2025,0
peng,01/05/2025,2835
